iter	Passed	Remaining
0	406	405744
1	411	205089
2	418	138918
3	424	105641
4	429	85371
5	435	72198
6	447	63443
7	451	55992
8	462	50890
9	466	46169
10	468	42126
11	473	38959
12	474	36054
13	476	33594
14	479	31492
15	481	29595
16	482	27906
17	487	26616
18	489	25279
19	491	24060
20	493	23015
21	495	22035
22	497	21119
23	499	20303
24	501	19566
25	503	18868
26	505	18206
27	508	17655
28	510	17080
29	511	16534
30	512	16029
31	516	15630
32	518	15197
33	520	14775
34	522	14399
35	524	14034
36	525	13675
37	526	13340
38	528	13013
39	529	12719
40	531	12434
41	532	12156
42	534	11897
43	536	11664
44	538	11437
45	540	11206
46	541	10981
47	542	10764
48	544	10566
49	546	10380
50	548	10202
51	549	10021
52	550	9845
53	552	9675
54	553	9513
55	554	9353
56	556	9198
57	557	9049
58	558	8903
59	560	8774
60	563	8672
61	565	8554
62	566	8427
63	568	8309
64	569	8193
65	570	8077
66	571	7962
67	573	7857
68	575	7765
69	576	7665
70	578	7565
71	579	7474
72	581	7378
73	582	7284
74	583	7195
75	584	7106
76	585	7017
77	586	6932
78	588	6856
79	589	6782
80	590	6703
81	591	6626
82	592	6544
83	593	6471
84	594	6399
85	595	6329
86	596	6260
87	597	6192
88	598	6126
89	599	6062
90	600	5999
91	601	5938
92	603	5886
93	605	5832
94	606	5778
95	607	5721
96	608	5667
97	609	5612
98	610	5560
99	612	5508
100	613	5458
101	614	5410
102	615	5362
103	617	5317
104	618	5275
105	620	5230
106	621	5186
107	623	5149
108	626	5120
109	627	5077
110	628	5035
111	629	4992
112	630	4952
113	633	4920
114	634	4885
115	636	4850
116	637	4809
117	638	4771
118	639	4733
119	640	4697
120	641	4660
121	642	4623
122	643	4587
123	644	4552
124	645	4518
125	647	4488
126	650	4469
127	651	4438
128	652	4407
129	654	4377
130	655	4346
131	656	4317
132	657	4286
133	658	4256
134	659	4226
135	660	4197
136	663	4178
137	665	4155
138	666	4131
139	668	4104
140	669	4077
141	670	4049
142	671	4023
143	672	3996
